mp_id k_lattice
mp-32800 2.184073
mp-11107 8.914128
mp-1014244 37496.677493
mp-554326 9.572382
mp-30997 5.471536
mp-7050 2.296294
mp-7049 8.605041
mp-561423 4.884015
mp-1102830 3.638532
mp-1189464 2.682536
mp-1188093 2.306143
mp-1215235 21.722797
mp-1215190 27.923168
mp-1215189 24.474505
mp-753891 27.447703
mp-1215197 30.107269
mp-757504 22.687927
mp-1215409 1.875689
mp-1215328 3.861772
mp-1215309 8.173031
mp-1215297 19.147766
mp-1215294 13.094399
mp-1079416 15.533426
mp-1079056 12.667814
mp-1207516 1.189371
mp-605 4.737925
mp-28671 1.650565
mp-4759 3.593271
mp-17324 7.116423
mp-961687 17.333226
mp-29018 4.530874
mp-1183042 27.543934
mp-4820 31.178267
mp-1215215 24.108196
mp-756361 7.268244
mp-756134 23.521047
mp-1683 9.262631
mp-1100415 15.709054
mp-2076 15.058761
mp-8231 45.717775
mp-3519 21.972436
mp-1205421 2.702604
mp-9921 19.634672
mp-20244 5.121612
mp-755798 11.849376
mp-542903 7.230316
mp-647557 6.199063
mp-20337 23.458883
mp-1100803 10.008252
mp-1068577 26.625550
mp-7310 3470823.001533
mp-29232 5.075480
mp-541593 2.972236
mp-31014 5.045749
mp-557754 23.986459
mp-5024 23.906470
mp-570966 1.613310
mp-707540 14.806970
mp-643013 35.929135
mp-24030 41.322414
mp-697914 19.467413
mp-776427 21.478273
mp-776404 19.659663
mp-776386 25.000660
mp-775980 14.577277
mp-775910 14.455837
mp-755769 23.345650
mp-755759 19.825780
mp-755089 28.298259
mp-754403 44.751218
mp-556605 27.849471
mp-2858 13431853.808750
mp-2574 37.442756
mp-1565 48.620230
mp-1190186 17.563465
mp-924129 20.918639
mp-1207386 25.271748
mp-568592 25.363517
mp-542791 21.225194
mp-1215303 5.867197
mp-728079 10.453102
mp-1215273 9.214035
mp-1215325 13.571715
mp-580886 5.702784
mp-23052 8.447706
mp-571235 0.945237
mp-541112 0.975974
mp-1188071 1.199339
mp-570188 2.935282
mp-570506 4.692437
mp-28241 2.736774
mp-570520 4.047269
mp-569970 2.487731
mp-554183 3.548009
mp-1207395 2.420670
mp-706386 15.187952
mp-1201375 5.746843
mp-1192835 10.255566
mp-24508 10.343310
mp-13542 6.270057
mp-8042 36.096926
mp-961649 12.179813
mp-1194272 18.953299
mp-1072655 7.345698
mp-1105223 21.950726
mp-31451 8.607007
mp-569175 13.747574
mp-570157 15.026347
mp-1207486 0.238557
mp-752685 10.157039
mp-559571 41.773766
mp-1093991 10.013725
mp-675751 14.006008
mp-561974 19.960253
mp-35527 23.336626
mp-1207432 3.486691
mp-1207498 0.590209
mp-761151 17.116794
mp-766207 13.768816
mp-1207495 1.759426
mp-1207511 1.917098
mp-28903 0.957526
mp-28734 854.613639
mp-28344 1.528348
mp-28345 2.621709
mp-29357 4.448649
mp-29934 7.414492
mp-860957 22.713239
mp-675672 17.898406
mp-1216434 4.374611
mp-1215653 8.171844
mp-1207474 8.746337
mp-758272 12.931765
mp-34898 15.214097
mp-34584 15.038422
mp-676286 11.846682
mp-541299 11.859288
mp-17315 3.584002
mp-1207399 3.581981
mp-1207410 5.563578
mp-1207388 27.187521
mp-1215889 6.784063
mp-1215813 9.769646
mp-1215762 8.861718
mp-1215966 8.593109
mp-1215936 11.385049
mp-1215669 8.396099
mp-675469 23.172876
mp-674363 21.099644
mp-1207448 3.424179
mp-17926 8.859200
mp-754353 20.740303
mp-11661 32.374418
mp-755998 24.541553
mp-755132 19.469864
mp-754659 15.679807
mp-1101160 21.563525
mp-34291 12.076140
mp-27888 35.068977
mp-1215756 10.144848
mp-1207441 4.054806
mp-1215607 34.203969
mp-977584 5.950243
mp-1216039 3.255195
mp-1215967 12.126488
mp-1215944 10.793756
mp-1215873 12.282120
mp-28672 1.821037
mp-1202980 4.331480
mp-1202377 1.093014
mp-1079726 22.621851
mp-1029337 26.510185
mp-1215826 9.394928
mp-553875 51.490609
mp-11583 28.127815
mp-1216369 23.301771
mp-560358 1960068.333474
mp-27132 24.393469
mp-776363 12.634500
mp-776362 11.998270
mp-776360 12.258730
mp-776337 15.182478
mp-776335 12.021707
mp-776315 10.188142
mp-776314 11.606063
mp-776281 12.652669
mp-776273 13.668493
mp-776271 9.579981
mp-776260 9.792405
mp-776250 25.817249
mp-776246 12.422523
mp-776245 17.817346
mp-776239 8.388045
mp-776201 18.565410
mp-775866 15.653225
mp-775863 15.511572
mp-775861 13.244462
mp-775849 10.910115
mp-775844 10.666780
mp-775843 13.226768
mp-775824 15.602801
mp-775823 15.687630
mp-775822 12.849630
mp-775805 10.517369
mp-775802 15.066759
mp-766238 11.745651
mp-756029 9.195434
mp-755576 17.894016
mp-755368 20.251223
mp-675993 12.347626
mp-674947 12.212725
mp-2525045 10.305601
mp-1101159 14.719947
mp-1020626 26.751515
mp-756175 12.631972
mp-769650 2.804678
mp-1246060 25236.075618
mp-1215597 8.572963
mp-542044 2148601233210.939941
mp-1246648 11.849446
mp-18778 6.736308
mp-1198156 0.856038
mp-31304 1.761884
mp-8203 11.243197
mp-636731 16.427207
mp-559825 8.541266
mp-510456 9.622640
mp-1095622 336761.359361
mp-610738 1.366086
mp-1100809 5.335430
mp-1191059 50.009684
mp-1207478 0.867543
mp-545622 7.525145
mp-18918 9.084944
mp-16819 2.132957
mp-558830 7.459080
mp-560198 3.787254
mp-8884 8.679872
mp-571195 4.787333
mp-2176 5.702446
mp-1376498 11.953032
mp-1047992 8.169786
mp-1041714 10.719753
mp-4175 12.778633
mp-1215429 33.687357
mp-14628 25.829233
mp-1337169 10.870736
mp-13334 23.399016
mp-1029469 11.245283
mp-13903 18.422907
mp-2902267 5.581776
mp-1386624 5.517743
mp-1047501 6.843234
mp-1043000 15.175699
mp-1331541 5.751197
mp-1044764 1.805833
mp-1045577 14.684774
mp-21724 5.489847
mp-4763 43.379653
mp-641917 2.799254
mp-562182 29.465818
mp-1178612 22.345544
mp-1020712 44.899770
mp-1215540 62590.165736
mp-3595 15.587500
mp-1046967 61.246651
mp-9359 10.912572
mp-778924 7.999295
mp-769365 14.121091
mp-769321 2.388129
mp-4682 7.820035
mp-5338 6.255675
mp-1102515 3.573990
mp-18373 3.630500
mp-1190 21.944755
mp-1044935 1.584763
mp-1199855 1.007700
mp-561492 1.709637
mp-753 4.684260
mp-545756 48.895064
mp-5126 18.243054
mp-9946 11.175181
mp-608468 5.291731
mp-581602 10.125250
mp-581601 9.962309
mp-581476 9.352837
mp-581412 9.578126
mp-581258 10.122964
mp-561258 8.874570
mp-561196 4.606656
mp-561118 7.452098
mp-560725 6.227066
mp-560588 28.134014
mp-557418 5.899540
mp-557346 4.019994
mp-557308 8.049637
mp-557175 10794795.780403
mp-557062 5.111610
mp-557054 5.409597
mp-557009 5.864528
mp-556989 4.484587
mp-556950 5.643578
mp-556815 4.873595
mp-556784 3.692232
mp-556775 7.025788
mp-556732 6.352854
mp-556543 337975.103027
mp-556448 3.424373
mp-556395 7.741095
mp-556392 5.560827
mp-556363 3.823796
mp-556280 5.795558
mp-556207 313.622754
mp-556161 5.416884
mp-556152 4.282206
mp-556105 12.330737
mp-556005 9.298636
mp-555763 19.777164
mp-555664 5.730852
mp-555628 4.964530
mp-555594 5.403062
mp-555583 5.781113
mp-555410 16.165273
mp-555214 4.401965
mp-554961 3.347559
mp-554999 5.045165
mp-554889 5.931730
mp-554829 58993.905699
mp-554820 2.906987
mp-554713 5.919222
mp-554681 282307.914283
mp-554608 4.263956
mp-554503 3.395005
mp-554405 16.037523
mp-554253 4.646967
mp-554115 2.331552
mp-554004 3.526656
mp-553916 5.634246
mp-13456 7.905092
mp-1202959 3.294828
mp-1202182 3.197272
mp-1202023 5.025346
mp-1201781 3.712907
mp-1201158 3.811006
mp-1200836 3.285641
mp-1200568 3.033260
mp-1199343 3.789337
mp-1198139 3.311831
mp-1196782 3.596328
mp-10281 17.997201
mp-8256 3.652627
mp-1189491 10.809631
mp-13983 22.017865
mp-13610 12.889350
mp-20006 2.226028
mp-3342 23.970255
mp-707311 10.240506
mp-14587 3616441123.793371
mp-1207501 5.749764
mp-17924 8.492939
mp-720739 9.308246
mp-697451 13.966796
mp-1200196 19.569775
mp-1196989 8.279197
mp-1392 14.208466
mp-11025 22.594966
mp-2133 55.188970
mp-1093993 23.550548
mp-1391273 21.925460
mp-16882 7.951450
mp-1095420 17.350061
mp-1215688 34.491553
mp-1215418 5.142554
mp-770218 9.744028
mp-756297 17.378126
mp-1216034 10.266608
mp-1201376 2.588232
mp-27161 0.486249
mp-1215447 11.467481
mp-706616 9.464949
mp-632706 11.406093
mp-1195282 5.053086
mp-766515 5.404937
mp-1192685 1.703236
mp-1197946 4.125383
mp-24313 8.015117
mp-696291 10.160180
mp-757256 4.681860
mp-24714 13.586419
mp-643060 3.687020
mp-23969 22.638944
mp-24591 6.672691
mp-643066 19.940881
mp-24547 7.458288
mp-24345 12.411952
mp-24502 17.338699
mp-1215424 25.060259
mp-4524 22.647940
mp-8285 45.087312
mp-2979 25.219854
mp-1029779 16.264117
mp-1215593 14.602579
mp-4008 11.511712
mp-1215439 19.161261
mp-1215443 20.742190
mp-558481 31.554159
mp-1215445 16.523519
mp-7709 12.926346
mp-1873 219016.120473
mp-1207469 9.291093
mp-1326455 5.319116
mp-1042425 5.350470
mp-1078498 4.237776
mp-1232332 12.654461
mp-1104843 8.349042
mp-977414 15.950135
mp-1189702 16.114360
mp-6408 17.350272
mp-1105527 10.210736
mp-1041415 2.272050
mp-772296 16.226550
mp-770735 3.861933
mp-755896 22.021396
mp-571540 2.064206
mp-22909 13.562029
mp-22889 7.143963
mp-1215527 8.174272
mp-1215504 9.171889
mp-971837 4.745697
mp-1215406 6.099381
mp-1215501 17.237910
mp-1215486 9.695691
mp-1215451 10.814035
mp-1017534 8.367341
mp-971712 13947669.059039
mp-1215678 3.775499
mp-1215505 18.996735
mp-1215475 27.472715
mp-1207444 11.183330
mp-1078597 4.368536
mp-1078780 4.796589
mp-1215786 6.107554
mp-9812 32.666156
mp-1215615 11.945540
mp-569960 8.436311
mp-1378105 8.682578
mp-647579 0.552211
mp-1048784 3.928770
mp-645375 1.483548
mp-1041424 1.973392
mp-558690 69.276483
mp-1196460 14.555752
mp-7262 8104971.353676
mp-7372 5.738729
mp-558807 8.278940
mp-1193999 3.556189
mp-1216213 3.470656
mp-998537 6.985880
mp-14099 12.095209
mp-1044097 6.081892
mp-1357139 4.938034
mp-1079889 9.776238
mp-1215558 11.630115
mp-16102 6.320967
mp-15144 11.121062
mp-1207470 4.993355
mp-555808 16.011129
mp-1246829 5.053281
mp-1207476 5.092708
mp-1195318 8.014819
mp-1245376 7.098587
mp-675797 11.461967
mp-1215862 11.310624
mp-1215633 8.568483
mp-1216191 9.839691
mp-1215580 128848669.147264
mp-1215566 8.256583
mp-1247422 9.788032
mp-1215671 11.272388
mp-15833 33.131509
mp-557537 42.142615
mp-1153970 14.316746
mp-1215879 2.550797
mp-1216040 11.875676
mp-1215624 7.893451
mp-1215652 8.529307
mp-1215630 9.303534
mp-1215784 7.017564
mp-14921 39.373873
mp-4812 64515881238.532990
mp-686042 8.128606
mp-29437 7.346752
mp-1377713 13.973526
mp-13199 2.651506
mp-1271278 12.485086
mp-30986 13.029828
mp-2071 26684787.849143
mp-1197170 2.775385
mp-1524551 9.923064
mp-1246430 15.675056
mp-1215740 26.711230
mp-29461 6.053862
mp-1215775 5.904826
mp-1215730 9.316135
mp-863430 7.942305
mp-682284 4.148084
mp-1215773 21.060979
mp-1006588 7.932681
mp-1215695 9.336768
mp-1215617 3.069153
mp-1250217 172601389.120202
mp-1346917 4.382787
mp-1215531 9.608196
mp-1079034 6.682146
mp-981379 11.468559
mp-1215562 21.300951
mp-1215644 8.557892
mp-557343 17.272699
mp-1207487 9.883904
mp-23609 29.461867
mp-1199333 11.661389
mp-1190778 8.905004
mp-1196003 2.641154
mp-30311 11.602882
mp-972439 36.009384
mp-557920 9.530165
mp-553958 11.787084
mp-1215666 7.013532
mp-31005 9.544378
mp-559949 11.829567
mp-557683 10.778032
mp-16834 8.557377
mp-542833 11.677433
mp-15483 5.472736
mp-27580 4.656761
mp-1215513 13.299755
mp-1196784 5.608797
mp-1192126 6.285484
mp-3502 7.525942
mp-35493 19.169858
mp-1397656 11.740781
mp-556163 24.585842
mp-1042514 13.110459
mp-1020636 8.828715
mp-3789 8.286479
mp-1020609 17.421667
mp-1020594 8.480221
mp-643814 25.448690
mp-1215642 25.418422
mp-1203942 10.204604
mp-1215549 15.831795
mp-1215555 14.691315
mp-1215446 20.299048
mp-1215430 21.102943
mp-561112 3.332701
mp-35647 12.832127
mp-1102523 44.172860
mp-722516 22.991016
mp-24004 15.846415
